input,output
1.000000000000000000e+01,9.883269667625427246e-01
1.006938631476027624e+01,9.883269667625427246e-01
1.013925407558815373e+01,9.883269667625427246e-01
1.020960662306046451e+01,9.883269667625427246e-01
1.028044732093309221e+01,9.883269667625427246e-01
1.035177955630176250e+01,9.883269667625427246e-01
1.042360673976401664e+01,9.883269667625427246e-01
1.049593230558227752e+01,9.883269667625427246e-01
1.056875971184804008e+01,9.883269667625427246e-01
1.064209244064724125e+01,9.883269667625427246e-01
1.071593399822671167e+01,9.883269667625427246e-01
1.079028791516184071e+01,9.883269667625427246e-01
1.086515774652538369e+01,9.883269667625427246e-01
1.094054707205742361e+01,9.883269667625427246e-01
1.101645949633656407e+01,9.883269667625427246e-01
1.109289864895222699e+01,9.883269667625427246e-01
1.116986818467823106e+01,9.883269667625427246e-01
1.124737178364751955e+01,9.883269667625427246e-01
1.132541315152811556e+01,9.883269667625427246e-01
1.140399601970032428e+01,9.883269667625427246e-01
1.148312414543511117e+01,9.883269667625427246e-01
1.156280131207375916e+01,9.883269667625427246e-01
1.164303132920876749e+01,9.883269667625427246e-01
1.172381803286598512e+01,9.883269667625427246e-01
1.180516528568804979e+01,9.883269667625427246e-01
1.188707697711903322e+01,9.883269667625427246e-01
1.196955702359043450e+01,9.883269667625427246e-01
1.205260936870842592e+01,9.883269667625427246e-01
1.213623798344240612e+01,9.883269667625427246e-01
1.222044686631488020e+01,9.883269667625427246e-01
1.230524004359261525e+01,9.883269667625427246e-01
1.239062156947916193e+01,9.883269667625427246e-01
1.247659552630869761e+01,9.883269667625427246e-01
1.256316602474120891e+01,9.883269667625427246e-01
1.265033720395903138e+01,9.883269667625427246e-01
1.273811323186478539e+01,9.883269667625427246e-01
1.282649830528060519e+01,9.883269667625427246e-01
1.291549665014884063e+01,9.883269667625427246e-01
1.300511252173409282e+01,9.883269667625427246e-01
1.309535020482667100e+01,9.883269667625427246e-01
1.318621401394748460e+01,9.883269667625427246e-01
1.327770829355429782e+01,9.883269667625427246e-01
1.336983741824946570e+01,9.883269667625427246e-01
1.346260579298910365e+01,9.883269667625427246e-01
1.355601785329368170e+01,9.883269667625427246e-01
1.365007806546013747e+01,9.883269667625427246e-01
1.374479092677537295e+01,9.883269667625427246e-01
1.384016096573131627e+01,9.883269667625427246e-01
1.393619274224142757e+01,9.883269667625427246e-01
1.403289084785872376e+01,9.883269667625427246e-01
1.413025990599533621e+01,9.883269667625427246e-01
1.422830457214352684e+01,9.883269667625427246e-01
1.432702953409831004e+01,9.883269667625427246e-01
1.442643951218158094e+01,9.883269667625427246e-01
1.452653925946781222e+01,9.883269667625427246e-01
1.462733356201129808e+01,9.883269667625427246e-01
1.472882723907502545e+01,9.883269667625427246e-01
1.483102514336104427e+01,9.883269667625427246e-01
1.493393216124252554e+01,9.883269667625427246e-01
1.503755321299738412e+01,9.883269667625427246e-01
1.514189325304351996e+01,9.883269667625427246e-01
1.524695727017573788e+01,9.883269667625427246e-01
1.535275028780422701e+01,9.883269667625427246e-01
1.545927736419477760e+01,9.883269667625427246e-01
1.556654359271061949e+01,9.883269667625427246e-01
1.567455410205595001e+01,9.883269667625427246e-01
1.578331405652117247e+01,9.883269667625427246e-01
1.589282865622977958e+01,9.883269667625427246e-01
1.600310313738700785e+01,9.883269667625427246e-01
1.611414277253019733e+01,9.883269667625427246e-01
1.622595287078087267e+01,9.883269667625427246e-01
1.633853877809861288e+01,9.883269667625427246e-01
1.645190587753662470e+01,9.883269667625427246e-01
1.656605958949914381e+01,9.883269667625427246e-01
1.668100537200059108e+01,9.883269667625427246e-01
1.679674872092653004e+01,9.883269667625427246e-01
1.691329517029647889e+01,9.883269667625427246e-01
1.703065029252844198e+01,9.883269667625427246e-01
1.714881969870539891e+01,9.883269667625427246e-01
1.726780903884355922e+01,9.883269667625427246e-01
1.738762400216250370e+01,9.883269667625427246e-01
1.750827031735724404e+01,9.883269667625427246e-01
1.762975375287205893e+01,9.883269667625427246e-01
