input,output
1.000000000000000000e+01,9.900498337491681067e-01
1.006938631476027624e+01,9.899811402229981017e-01
1.013925407558815373e+01,9.899119748737109648e-01
1.020960662306046451e+01,9.898423344942230973e-01
1.028044732093309221e+01,9.897722158561196304e-01
1.035177955630176250e+01,9.897016157095198663e-01
1.042360673976401664e+01,9.896305307829409426e-01
1.049593230558227752e+01,9.895589577831611638e-01
1.056875971184804008e+01,9.894868933950817791e-01
1.064209244064724125e+01,9.894143342815895359e-01
1.071593399822671167e+01,9.893412770834165704e-01
1.079028791516184071e+01,9.892677184190010742e-01
1.086515774652538369e+01,9.891936548843464072e-01
1.094054707205742361e+01,9.891190830528795441e-01
1.101645949633656407e+01,9.890439994753084108e-01
1.109289864895222699e+01,9.889684006794796645e-01
1.116986818467823106e+01,9.888922831702340321e-01
1.124737178364751955e+01,9.888156434292615371e-01
1.132541315152811556e+01,9.887384779149569480e-01
1.140399601970032428e+01,9.886607830622723414e-01
1.148312414543511117e+01,9.885825552825707740e-01
1.156280131207375916e+01,9.885037909634779574e-01
1.164303132920876749e+01,9.884244864687339316e-01
1.172381803286598512e+01,9.883446381380431855e-01
1.180516528568804979e+01,9.882642422869244436e-01
1.188707697711903322e+01,9.881832952065593423e-01
1.196955702359043450e+01,9.881017931636407736e-01
1.205260936870842592e+01,9.880197324002198966e-01
1.213623798344240612e+01,9.879371091335521493e-01
1.222044686631488020e+01,9.878539195559437047e-01
1.230524004359261525e+01,9.877701598345949296e-01
1.239062156947916193e+01,9.876858261114451754e-01
1.247659552630869761e+01,9.876009145030157921e-01
1.256316602474120891e+01,9.875154211002514781e-01
1.265033720395903138e+01,9.874293419683626283e-01
1.273811323186478539e+01,9.873426731466651285e-01
1.282649830528060519e+01,9.872554106484204839e-01
1.291549665014884063e+01,9.871675504606741702e-01
1.300511252173409282e+01,9.870790885440939855e-01
1.309535020482667100e+01,9.869900208328070690e-01
1.318621401394748460e+01,9.869003432342358106e-01
1.327770829355429782e+01,9.868100516289335378e-01
1.336983741824946570e+01,9.867191418704190919e-01
1.346260579298910365e+01,9.866276097850102955e-01
1.355601785329368170e+01,9.865354511716568631e-01
1.365007806546013747e+01,9.864426618017723136e-01
1.374479092677537295e+01,9.863492374190647727e-01
1.384016096573131627e+01,9.862551737393676632e-01
1.393619274224142757e+01,9.861604664504685092e-01
1.403289084785872376e+01,9.860651112119378503e-01
1.413025990599533621e+01,9.859691036549563803e-01
1.422830457214352684e+01,9.858724393821416410e-01
1.432702953409831004e+01,9.857751139673743834e-01
1.442643951218158094e+01,9.856771229556227087e-01
1.452653925946781222e+01,9.855784618627666527e-01
1.462733356201129808e+01,9.854791261754211051e-01
1.472882723907502545e+01,9.853791113507580635e-01
1.483102514336104427e+01,9.852784128163279975e-01
1.493393216124252554e+01,9.851770259698805488e-01
1.503755321299738412e+01,9.850749461791837858e-01
1.514189325304351996e+01,9.849721687818431271e-01
1.524695727017573788e+01,9.848686890851189313e-01
1.535275028780422701e+01,9.847645023657437546e-01
1.545927736419477760e+01,9.846596038697377207e-01
1.556654359271061949e+01,9.845539888122244454e-01
1.567455410205595001e+01,9.844476523772445198e-01
1.578331405652117247e+01,9.843405897175691033e-01
1.589282865622977958e+01,9.842327959545124072e-01
1.600310313738700785e+01,9.841242661777429568e-01
1.611414277253019733e+01,9.840149954450944092e-01
1.622595287078087267e+01,9.839049787823751503e-01
1.633853877809861288e+01,9.837942111831767811e-01
1.645190587753662470e+01,9.836826876086826044e-01
1.656605958949914381e+01,9.835704029874738907e-01
1.668100537200059108e+01,9.834573522153364777e-01
1.679674872092653004e+01,9.833435301550654817e-01
1.691329517029647889e+01,9.832289316362700093e-01
1.703065029252844198e+01,9.831135514551758714e-01
1.714881969870539891e+01,9.829973843744285178e-01
1.726780903884355922e+01,9.828804251228943079e-01
1.738762400216250370e+01,9.827626683954612252e-01
1.750827031735724404e+01,9.826441088528381496e-01
1.762975375287205893e+01,9.825247411213541282e-01
1.775208011717635159e+01,9.824045597927560936e-01
1.787525525904235479e+01,9.822835594240055812e-01
1.799928506782476489e+01,9.821617345370750041e-01
1.812417547374236548e+01,9.820390796187425941e-01
1.824993244816152327e+01,9.819155891203869002e-01
1.837656200388171612e+01,9.817912574577796203e-01
1.850407019542302223e+01,9.816660790108783230e-01
1.863246311931559873e+01,9.815400481236181696e-01
1.876174691439120323e+01,9.814131591037018598e-01
1.889192776207666213e+01,9.812854062223896889e-01
1.902301188668944931e+01,9.811567837142882720e-01
1.915500555573527919e+01,9.810272857771386024e-01
1.928791508020777812e+01,9.808969065716024449e-01
1.942174681489025545e+01,9.807656402210489510e-01
1.955650715865949252e+01,9.806334808113393864e-01
1.969220255479172366e+01,9.805004223906119698e-01
1.982883949127071332e+01,9.803664589690642694e-01
1.996642450109793288e+01,9.802315845187368204e-01
2.010496416260497909e+01,9.800957929732936336e-01
2.024446509976803910e+01,9.799590782278035928e-01
2.038493398252463251e+01,9.798214341385197423e-01
2.052637752709252084e+01,9.796828545226586860e-01
2.066880249629081945e+01,9.795433331581780978e-01
2.081221569986338338e+01,9.794028637835540119e-01
2.095662399480433180e+01,9.792614400975571121e-01
2.110203428568595641e+01,9.791190557590283561e-01
2.124845352498882889e+01,9.789757043866527120e-01
2.139588871343421417e+01,9.788313795587335608e-01
2.154434690031883193e+01,9.786860748129648790e-01
2.169383518385184217e+01,9.785397836462036425e-01
2.184436071149427150e+01,9.783924995142401215e-01
2.199593068030074861e+01,9.782442158315686198e-01
2.214855233726359174e+01,9.780949259711568811e-01
2.230223297965937590e+01,9.779446232642136083e-01
2.245697995539773828e+01,9.777933009999573155e-01
2.261280066337278427e+01,9.776409524253818484e-01
2.276970255381679920e+01,9.774875707450232376e-01
2.292769312865648601e+01,9.773331491207244426e-01
2.308677994187168636e+01,9.771776806713992070e-01
2.324697059985647840e+01,9.770211584727961363e-01
2.340827276178293204e+01,9.768635755572606660e-01
2.357069413996727647e+01,9.767049249134974742e-01
2.373424250023866122e+01,9.765451994863307839e-01
2.389892566231050353e+01,9.763843921764648881e-01
2.406475150015424092e+01,9.762224958402434538e-01
2.423172794237599348e+01,9.760595032894080481e-01
2.439986297259550341e+01,9.758954072908557764e-01
2.456916462982790250e+01,9.757302005663966993e-01
2.473964100886814066e+01,9.755638757925093607e-01
2.491130026067788350e+01,9.753964256000967614e-01
2.508415059277539783e+01,9.752278425742407775e-01
2.525820026962784581e+01,9.750581192539562458e-01
2.543345761304649599e+01,9.748872481319438288e-01
2.560993100258459521e+01,9.747152216543427672e-01
2.578762887593800812e+01,9.745420322204823016e-01
2.596655972934870960e+01,9.743676721826328713e-01
2.614673211801092023e+01,9.741921338457560919e-01
2.632815465648021203e+01,9.740154094672544005e-01
2.651083601908538867e+01,9.738374912567198116e-01
2.669478494034320804e+01,9.736583713756822300e-01
2.688001021537606050e+01,9.734780419373566529e-01
2.706652070033241131e+01,9.732964950063899279e-01
2.725432531281029114e+01,9.731137225986069561e-01
2.744343303228365372e+01,9.729297166807562292e-01
2.763385290053169996e+01,9.727444691702542556e-01
2.782559402207124322e+01,9.725579719349300989e-01
2.801866556459195223e+01,9.723702167927684714e-01
2.821307675939472048e+01,9.721811955116530513e-01
2.840883690183304111e+01,9.719908998091084662e-01
2.860595535175741944e+01,9.717993213520420559e-01
2.880444153396296514e+01,9.716064517564850789e-01
2.900430493863991543e+01,9.714122825873328093e-01
2.920555512182746583e+01,9.712168053580854110e-01
2.940820170587063842e+01,9.710200115305861468e-01
2.961225437988034415e+01,9.708218925147613643e-01
2.981772290019671701e+01,9.706224396683578171e-01
3.002461709085549302e+01,9.704216442966816514e-01
3.023294684405777843e+01,9.702194976523345060e-01
3.044272212064302607e+01,9.700159909349513887e-01
3.065395295056526592e+01,9.698111152909363319e-01
3.086664943337272859e+01,9.696048618131984931e-01
3.108082173869063780e+01,9.693972215408881432e-01
3.129648010670752001e+01,9.691881854591307688e-01
3.151363484866479325e+01,9.689777444987626165e-01
3.173229634734976301e+01,9.687658895360640177e-01
3.195247505759212103e+01,9.685526113924941560e-01
3.217418150676371624e+01,9.683379008344236150e-01
3.239742629528197426e+01,9.681217485728682570e-01
3.262222009711669557e+01,9.679041452632216602e-01
3.284857366030043835e+01,9.676850815049874432e-01
3.307649780744240786e+01,9.674645478415118127e-01
3.330600343624588788e+01,9.672425347597147782e-01
3.353710152002930300e+01,9.670190326898226996e-01
3.376980310825091181e+01,9.667940320050989467e-01
3.400411932703705986e+01,9.665675230215751146e-01
3.424006137971424124e+01,9.663394959977822385e-01
3.447764054734464167e+01,9.661099411344811205e-01
3.471686818926561102e+01,9.658788485743933228e-01
3.495775574363275240e+01,9.656462084019312719e-01
3.520031472796679139e+01,9.654120106429288084e-01
3.544455673970435328e+01,9.651762452643710688e-01
3.569049345675229290e+01,9.649389021741245909e-01
3.593813663804627367e+01,9.646999712206676403e-01
3.618749812411280686e+01,9.644594421928199823e-01
3.643858983763544757e+01,9.642173048194728757e-01
3.669142378402494131e+01,9.639735487693188443e-01
3.694601205199302285e+01,9.637281636505822258e-01
3.720236681413067714e+01,9.634811390107483886e-01
3.746050032748993175e+01,9.632324643362947247e-01
3.772042493416997644e+01,9.629821290524201993e-01
3.798215306190736129e+01,9.627301225227758996e-01
3.824569722466998911e+01,9.624764340491958059e-01
3.851107002325570505e+01,9.622210528714270072e-01
3.877828414589457395e+01,9.619639681668609166e-01
3.904735236885559857e+01,9.617051690502642636e-01
3.931828755705770106e+01,9.614446445735105318e-01
3.959110266468458406e+01,9.611823837253112846e-01
3.986581073580440915e+01,9.609183754309486014e-01
4.014242490499322003e+01,9.606526085520074032e-01
4.042095839796306223e+01,9.603850718861074443e-01
4.070142453219438750e+01,9.601157541666373030e-01
4.098383671757261482e+01,9.598446440624874842e-01
4.126820845702953733e+01,9.595717301777841879e-01
4.155455334718875093e+01,9.592970010516244095e-01
4.184288507901580090e+01,9.590204451578105971e-01
4.213321743847289014e+01,9.587420509045860850e-01
4.242556430717777260e+01,9.584618066343718601e-01
4.271993966306779100e+01,9.581797006235027725e-01
4.301635758106795038e+01,9.578957210819654122e-01
4.331483223376398684e+01,9.576098561531364295e-01
4.361537789208005478e+01,9.573220939135208551e-01
4.391800892596086214e+01,9.570324223724926416e-01
4.422273980505899260e+01,9.567408294720345374e-01
4.452958509942655496e+01,9.564473030864798497e-01
4.483855948021186322e+01,9.561518310222546502e-01
4.514967772036101934e+01,9.558544010176205363e-01
4.546295469532399380e+01,9.555550007424196135e-01
4.577840538376618440e+01,9.552536177978189214e-01
4.609604486828433778e+01,9.549502397160569700e-01
4.641588833612777165e+01,9.546448539601912753e-01
4.673795107992463471e+01,9.543374479238462271e-01
4.706224849841281355e+01,9.540280089309631784e-01
4.738879609717653807e+01,9.537165242355509776e-01
4.771760948938745628e+01,9.534029810214383893e-01
4.804870439655129388e+01,9.530873664020271807e-01
4.838209664925957298e+01,9.527696674200468729e-01
4.871780218794631168e+01,9.524498710473114915e-01
4.905583706365047902e+01,9.521279641844759833e-01
4.939621743878320359e+01,9.518039336607966305e-01
4.973895958790062366e+01,9.514777662338906872e-01
5.008407989848212338e+01,9.511494485894991247e-01
5.043159487171358535e+01,9.508189673412504872e-01
5.078152112327673251e+01,9.504863090304258577e-01
5.113387538414325917e+01,9.501514601257272652e-01
5.148867450137492341e+01,9.498144070230456482e-01
5.184593543892913203e+01,9.494751360452325928e-01
5.220567527846975509e+01,9.491336334418726262e-01
5.256791122018422158e+01,9.487898853890583961e-01
5.293266058360561033e+01,9.484438779891677385e-01
5.329994080844087989e+01,9.480955972706416324e-01
5.366976945540476152e+01,9.477450291877661526e-01
5.404216420705915169e+01,9.473921596204554207e-01
5.441714286865889960e+01,9.470369743740368884e-01
5.479472336900287388e+01,9.466794591790391733e-01
5.517492376129126086e+01,9.463195996909820051e-01
5.555776222398877451e+01,9.459573814901693911e-01
5.594325706169377810e+01,9.455927900814840026e-01
5.633142670601354496e+01,9.452258108941850034e-01
5.672228971644543805e+01,9.448564292817080990e-01
5.711586478126432098e+01,9.444846305214690263e-01
5.751217071841613659e+01,9.441103998146681553e-01
5.791122647641758192e+01,9.437337222861000852e-01
5.831305113526221362e+01,9.433545829839641295e-01
5.871766390733255747e+01,9.429729668796787978e-01
5.912508413831878329e+01,9.425888588676997193e-01
5.953533130814370367e+01,9.422022437653387872e-01
5.994842503189408944e+01,9.418131063125892988e-01
6.036438506075867139e+01,9.414214311719512063e-01
6.078323128297230227e+01,9.410272029282625850e-01
6.120498372476699700e+01,9.406304060885321006e-01
6.162966255132942450e+01,9.402310250817764725e-01
6.205728806776500761e+01,9.398290442588612681e-01
6.248788072006890815e+01,9.394244478923442498e-01
6.292146109610344240e+01,9.390172201763238302e-01
6.335804992658250967e+01,9.386073452262904127e-01
6.379766808606282069e+01,9.381948070789819516e-01
6.424033659394190465e+01,9.377795896922431762e-01
6.468607661546327847e+01,9.373616769448893660e-01
6.513490946272803228e+01,9.369410526365735681e-01
6.558685659571432325e+01,9.365177004876582556e-01
6.604193962330305112e+01,9.360916041390918707e-01
6.650018030431118632e+01,9.356627471522884765e-01
6.696160054853221766e+01,9.352311130090130709e-01
6.742622241778342129e+01,9.347966851112710085e-01
6.789406812696108773e+01,9.343594467812016413e-01
6.836516004510238531e+01,9.339193812609776213e-01
6.883952069645496863e+01,9.334764717127079781e-01
6.931717276155407603e+01,9.330307012183468585e-01
6.979813907830660469e+01,9.325820527796071513e-01
7.028244264308348477e+01,9.321305093178789969e-01
7.077010661181888906e+01,9.316760536741535148e-01
7.126115430111745752e+01,9.312186686089523047e-01
7.175560918936928090e+01,9.307583368022620540e-01
7.225349491787214617e+01,9.302950408534741422e-01
7.275483529196229426e+01,9.298287632813309056e-01
7.325965428215229736e+01,9.293594865238770097e-01
7.376797602527730646e+01,9.288871929384164838e-01
7.427982482564918598e+01,9.284118648014759723e-01
7.479522515621820844e+01,9.279334843087748697e-01
7.531420165974371628e+01,9.274520335751992306e-01
7.583677914997190328e+01,9.269674946347848943e-01
7.636298261282242095e+01,9.264798494407051610e-01
7.689283720758312768e+01,9.259890798652647970e-01
7.742636826811269657e+01,9.254951676999024768e-01
7.796360130405233235e+01,9.249980946551974448e-01
7.850456200204509116e+01,9.244978423608853912e-01
7.904927622696420997e+01,9.239943923658796576e-01
7.959777002314986305e+01,9.234877261383002134e-01
8.015006961565404708e+01,9.229778250655102934e-01
8.070620141149503013e+01,9.224646704541586972e-01
8.126619200091946027e+01,9.219482435302321921e-01
8.183006815867389605e+01,9.214285254391126889e-01
8.239785684528519027e+01,9.209054972456443000e-01
8.296958520834907347e+01,9.203791399342071688e-01
8.354528058382867073e+01,9.198494344087997376e-01
8.412497049736118981e+01,9.193163614931283423e-01
8.470868266557401682e+01,9.187799019307066883e-01
8.529644499741024788e+01,9.182400363849616554e-01
8.588828559546249153e+01,9.176967454393496482e-01
8.648423275731721560e+01,9.171500095974796096e-01
8.708431497690723688e+01,9.165998092832468025e-01
8.768856094587427208e+01,9.160461248409740298e-01
8.829699955494092478e+01,9.154889365355628472e-01
8.890965989529158264e+01,9.149282245526535462e-01
8.952657125996395848e+01,9.143639689987946850e-01
9.014776314524917211e+01,9.137961499016223899e-01
9.077326525210223451e+01,9.132247472100486485e-01
9.140310748756232329e+01,9.126497407944602624e-01
9.203731996618220990e+01,9.120711104469276798e-01
9.267593301146878559e+01,9.114888358814229319e-01
9.331897715733238385e+01,9.109028967340494498e-01
9.396648314954690306e+01,9.103132725632810951e-01
9.461848194722001892e+01,9.097199428502125151e-01
9.527500472427290390e+01,9.091228869988202677e-01
9.593608287093141485e+01,9.085220843362340482e-01
9.660174799522646083e+01,9.079175141130202409e-01
9.727203192450537017e+01,9.073091555034760169e-01
9.794696670695395824e+01,9.066969876059347566e-01
9.862658461312820180e+01,9.060809894430842393e-01
9.931091813749794994e+01,9.054611399622942702e-01
1.000000000000000000e+02,9.048374180359595176e-01
1.006938631476027126e+02,9.042098024618515639e-01
1.013925407558815266e+02,9.035782719634845028e-01
1.020960662306046487e+02,9.029428051904937469e-01
1.028044732093309790e+02,9.023033807190257161e-01
1.035177955630176285e+02,9.016599770521427359e-01
1.042360673976401131e+02,9.010125726202381502e-01
1.049593230558227646e+02,9.003611457814669761e-01
1.056875971184803973e+02,8.997056748221897715e-01
1.064209244064724658e+02,8.990461379574280487e-01
1.071593399822671131e+02,8.983825133313363409e-01
1.079028791516183645e+02,8.977147790176858155e-01
1.086515774652538369e+02,8.970429130203637635e-01
1.094054707205742432e+02,8.963668932738866335e-01
1.101645949633656869e+02,8.956866976439277206e-01
1.109289864895222735e+02,8.950023039278600656e-01
1.116986818467822644e+02,8.943136898553134539e-01
1.124737178364751884e+02,8.936208330887475126e-01
1.132541315152811450e+02,8.929237112240402396e-01
1.140399601970033103e+02,8.922223017910905218e-01
1.148312414543511153e+02,8.915165822544390828e-01
1.156280131207375348e+02,8.908065300139029752e-01
1.164303132920876749e+02,8.900921224052276148e-01
1.172381803286598512e+02,8.893733367007552459e-01
1.180516528568805512e+02,8.886501501101092826e-01
1.188707697711903251e+02,8.879225397808967468e-01
1.196955702359042846e+02,8.871904827994259168e-01
1.205260936870842556e+02,8.864539561914436261e-01
1.213623798344240470e+02,8.857129369228883276e-01
1.222044686631488730e+02,8.849674019006610326e-01
1.230524004359261596e+02,8.842173279734159008e-01
1.239062156947915696e+02,8.834626919323665950e-01
1.247659552630869797e+02,8.827034705121125091e-01
1.256316602474121424e+02,8.819396403914844251e-01
